"STATUS_0","Incompleto o invalido"
"STATUS_1","Cancellato dal cliente"
"STATUS_2","Autorizzazione rifiutata"
"STATUS_3",""
"STATUS_4","Ordine salvato"
"STATUS_40","Salvato, in attesa del risultato estreno"
"STATUS_41","In attesa del pagamento del cliente"
"STATUS_46","Waiting (for identification)"
"STATUS_5","Autorizzato"

"STATUS_50","Autorizzato, in attesa del risultato estreno"
"STATUS_51","Autorizzazione in attesa"
"STATUS_52","Autorizzazione incerta"
"STATUS_55","Stand-by"
"STATUS_56","OK con in pagamenti pianificati"
"STATUS_57","Errore nei pagamenti pianificati"
"STATUS_59","Autorizzazione da ricevere manualmente"

"STATUS_6","Autorizzato e cancellato"
"STATUS_61","Storno dell'autorizzazione in attesa"
"STATUS_62","Storno dell'autorizzazione incerto"
"STATUS_63","Storno dell'autorizzazione rifiutato"
"STATUS_64","Autorizzato e cancellato"

"STATUS_7","Pagamento cancellato"
"STATUS_71","Storno del Pagamento in attesa"
"STATUS_72","Storno del Pagamento incerto"
"STATUS_73","Storno del Pagamento rifiutato"
"STATUS_74","Pagamento cancellato"
"STATUS_75","Storno del Pagamento da parte del mercante"

"STATUS_8","Rimborso"
"STATUS_81","Rimborso in attesa"
"STATUS_82","Rimborso incerto"
"STATUS_83","Rimborso rifiutato"
"STATUS_84","Pagamento rifiutato dall'acquirente"
"STATUS_85","Rimborso processato dal mercante"

"STATUS_9","Pagamento richiesto"
"STATUS_91","Pagamento in processo"
"STATUS_92","Pagamento incerto"
"STATUS_93","Pagamento rifiutato"
"STATUS_94","Pagamento rifiutato dall'acquirente"
"STATUS_95","Pagamento effettuato dal mercante"
"STATUS_99","In processo"

"Hash is not valid","Hash non valido"
"Order is not valid","Ordine non valido"
"Process outgoing transaction","Processazione della transazioni in uscita"
"Start Barclaycard processing","Inizio processazione Barclaycard"
"Your payment information was declined. Please select another payment method.","I Vostri dati di pagammento sono stati rifiutati. Si prega di selezionare un altro metodo di pagamento."
"Order canceled on Barclaycard side. Status: %s, Payment ID: %s.","Ordine cancellato sul Barclaycard. Status: %s, Payment ID: %s."
"Account number must contain numbers only.","Il numero di conto deve contenere unicamente numeri."
"Bank code must contain numbers only.","Il numero di conto deve contenere unicamente numeri."
"Account Holder must be filled in.","Il campo intestatario deve essere compilato."
"Process outgoing transaction","Processazione della transazioni in uscita"
"Capture process complete","Processo di accredito eseguito"
"The capture has already been invoiced.","L'accredito é stato già eseguito."
"Cannot create an invoice without products.","No é possibile creare un fattura senza prodotti."
"Partial capture process complete","Processo dell'accredito parziale eseguito"
"Invoice ""%s"" was created automatically. Barclaycard Status: %s.","La fattura ""%s"" é stata creata automaticamente. Barclaycard Status: %s."
"Start Barclaycard refund request","Inizio della richiesta di rimborso sul Barclaycard"
"Creditmemo will be created automatically as soon as Barclaycard sends an acknowledgement. Barclaycard Status: %s.","Il rimborso sarà creato automaticamente quando il Barclaycard manderà la conferma. Sato del Barclaycard: %s."
"Creditmemo ""%s"" was created automatically. Barclaycard Status: %s.","Il rimborso ""%s"" é stato creato automaticamente. Sato del Barclaycard: %s."
"Could not perform actions for Barclaycard status: %s.","Impossibile eseguire azioni per lo stato del Barclaycard status: %s."
"Refund is waiting or uncertain. Barclaycard status: %s.","Rimborso in attesa o incerto. Sato del Barclaycard: %s."
"Refund was refused. Automatic creation failed. Barclaycard status: %s.","Rimborso é stato rifiutato. Creazione automatica  fallita. Sato del Barclaycard: %s."
"Capture is waiting or uncertain. Barclaycard status: %s.","Accredito in attesa o incerto. Sato del Barclaycard: %s."
"Capture was refused. Automatic creation failed. Barclaycard status: %s.","L' accredito é stato rifiutato. Creazione automatica  fallita. Sato del Barclaycard: %s."
"Void is waiting or uncertain. Barclaycard status: %s.","Annullamento in attesa o incerto. Sato del Barclaycard: %s."
"Void was refused. Automatic creation failed. Barclaycard status: %s.","Annullamento é stato rifiutato. Creazione automatica  fallita. Sato del Barclaycard: %s."
"Authorization status changed. Current Barclaycard status is: %s.","Lo sato dell'autorizzazione é cambiato. Sato corrente del Barclaycard: %s."
"Unknown Barclaycard status: %s.","Sato del Barclaycard ingnoto: %s."
"Error, Il numero di tentativi per la transazione é %s invece che 1 per il Payid ""%s"", ordine ""%s"" e operazione ""%s"".","Errore, Il numero di tentativi per la transazione é %s invece che 1 per il Payid ""%s"", ordine ""%s"" e operazione ""%s""."
"Order can not be saved.","L' ordine non puo' essere salvato."
"Order can not be canceled for system reason.","L' ordine non puo' essere cancellato par motivi di sistema."
"Order declined on ops side. Barclaycard status: %s, Payment ID: %s.","Ordine rifiutato da parte del  Barclaycard. Sato del Barclaycard: %s, Payment ID: %s."
"Order can not be saved for system reason.","L' ordine non puo' essere savato par motivi di sistema."
"An unknown exception occured.","Si é verificata un'eccezione ingota."
"A technical problem arose during payment process, giving unpredictable result. Barclaycard status: %s.","Si é verificato un problema tecnico durante il processo di pagamento, dando un risultato ignoto. Sato del Barclaycard: %s."
"An unknown exception was thrown in the payment process. Barclaycard status: %s.","Si é verificata un'eccezione inaspettata durante il processo di pagamento. Sato del Barclaycard: %s."
"Waiting for the payment of the customer","In attesa del pagamento da parte del cliente"
"Authorization waiting from Barclaycard","In attesa del pagamento da parte del Barclaycard"
"Processed by Barclaycard","Processato dal Barclaycard"
"Waiting for payment. Barclaycard status: %s.","In attesa del pagamento. Sato del Barclaycard: %s."
"Authorization waiting. Barclaycard status: %s.","In attesa dell'autorizzazione. Sato del Barclaycard: %s."
"Authorization uncertain. Barclaycard status: %s.","Autorizzazione incerta. Sato del Barclaycard: %s."
"Processed by Barclaycard. Payment ID: %s. Barclaycard status: %s.","Processato da Barclaycard. Payment ID: %s. Sato del Barclaycard: %s."
"Barclaycard server is temporarily not available, please try again later.","Il server del Barclaycard non é momentaneamente reperibile, si prega di riprovare più tardi."
"An error occured during the Barclaycard request. Your action could not be executed. Message: ""%s"".","Si é verificato un errore durenta la rchiesta del Barclaycard. L'operazione richiesta no é potuta essere eseguita. Messaggio: ""%s""."
"You already sent a capture request. Please wait until the capture request is acknowledged.","La richesta di accredito é stata già inviata. Si prega di attendere la conferma d'accredito."
"There is one void request waiting. Please wait until this request is acknowledged.","Una richiesta di annullamento in attesa. Si prega di attendere la conferma di tale processo."
"Start Barclaycard %s capture request","Inizio di richiest di accredito da parte del %s"
"Invoice will be created automatically as soon as Barclaycard sends an acknowledgement. Barclaycard status: %s.","La fattura verrà stata creata automaticamente quando l'Barclaycard invierà la conferma. Sato del Barclaycard: %s."
"The Invoice will be created automatically as soon as Barclaycard sends an acknowledgement.","La fattura verrà stata creata automaticamente quando l'Barclaycard invierà la conferma."
"The Invoice was not created. Barclaycard status: %s.","La fattura no é stata creata. Sato del Barclaycard: %s."
"The CreditMemo was not created. Barclaycard status: %s.","La nota di credito non é stata creata. Sato del Barclaycard:  %s."
"The Creditmemo will be created automatically as soon as Barclaycard sends an acknowledgement.","La nota di credito verrà creata automaticamente quando l'Barclaycard avrà inviato la conferma."
"There is already one creditmemo in the queue. The Creditmemo will be created automatically as soon as Barclaycard sends an acknowledgement.","Una nota di credito gia in coda. La nota di credito verrà creata automaticamente quando l'Barclaycard avrà inviato la conferma."
"Please use void to cancel the operation.","Si prega di utilizare Annulla per cancellare l'operazione."
"You already sent a void request. Please wait until the void request will be acknowledged.","Si ha gia inviato una richiest di annullamento. Si prega di attendere la conferma di annullamento."
"There is one capture request waiting. Please wait until this request is acknowledged.","Non vi sono richieste d'accredito in attesa. Si prega di attendere la conferma di questa richiesta."
"The void request is sent. Please wait until the void request will be accepted.","La richiesta di annullamento é stata inviata. Si prega di attendere finche la richiesta di annullamento si stata accettata."
"Void order succeed. Barclaycard status: %s.","Annullamento d'ordine completato. Sato del Barclaycard: %s."
"Void order failed. Barclaycard status: %s.","Annullamento d'ordine fallito. Sato del Barclaycard: %s."
"Authorization","Autorizzazione"
"Direct Sale","Vendita"
"Horizontally grouped logo with group name on left","Ragruppamento dei logi orizontale con nome del gruppo a sinistra"
